,Market,Average Game Attendance,Average Yearly Attendance,Median Yearly Attendance
0,Portland,234956,951571.4,992088.03125
1,Jacksonville,233117,944123.0,991940.40625
2,Charlotte,210112,850954.1,816492.96875
3,Omaha,204682,828961.0,827497.875
4,Sacramento,188553,763638.25,827601.9375
5,Honolulu,167365,677826.4,733697.1875
6,Orlando,163118,660627.8,633414.71875
7,Buffalo,162320,657394.5,519786.3125
8,Oklahoma City,159871,647478.06,760376.15625
9,Austin,151063,611806.06,631297.25
10,Nashville,149784,606627.0,622653.46875
11,Las Vegas,138732,561864.5,573696.34375
12,Columbus,137433,556604.5,427451.0625
13,Memphis,137312,556112.44,563040.9375
14,Indianapolis,132445,536402.4,535772.15625
15,Louisville,125727,509194.5,472198.671875
16,Birmingham,119613,484430.8,481053.6875
17,Albuquerque,113260,458703.84,433390.265625
18,New Orleans,108893,441016.0,415656.765625
19,Raleigh-Durham,108631,439956.2,407785.515625
20,Hartford,102669,415811.25,431847.953125
21,Salt Lake City,47455,192192.03,213810.9375
22,San Antonio,19779,114435.2,118647.1875
